Epoch [250/300], Train Loss: 0.001200, Val Loss: 0.001262, Epoch Time: 351.34s
Epoch [251/300], Train Loss: 0.001204, Val Loss: 0.001254, Epoch Time: 344.78s
Epoch [252/300], Train Loss: 0.001184, Val Loss: 0.001255, Epoch Time: 355.13s
Epoch [253/300], Train Loss: 0.001190, Val Loss: 0.001260, Epoch Time: 352.90s
Epoch [254/300], Train Loss: 0.001174, Val Loss: 0.001264, Epoch Time: 351.40s
Epoch [255/300], Train Loss: 0.001180, Val Loss: 0.001264, Epoch Time: 420.24s
Epoch [256/300], Train Loss: 0.001197, Val Loss: 0.001261, Epoch Time: 364.39s
Epoch [257/300], Train Loss: 0.001207, Val Loss: 0.001255, Epoch Time: 646.93s
Epoch [258/300], Train Loss: 0.001180, Val Loss: 0.001250, Epoch Time: 400.53s
Epoch [259/300], Train Loss: 0.001214, Val Loss: 0.001268, Epoch Time: 342.97s
Epoch [260/300], Train Loss: 0.001203, Val Loss: 0.001246, Epoch Time: 514.04s
Epoch [261/300], Train Loss: 0.001215, Val Loss: 0.001251, Epoch Time: 332.31s
Epoch [262/300], Train Loss: 0.001195, Val Loss: 0.001253, Epoch Time: 515.10s
Epoch [263/300], Train Loss: 0.001212, Val Loss: 0.001259, Epoch Time: 435.13s
Epoch [264/300], Train Loss: 0.001198, Val Loss: 0.001249, Epoch Time: 329.08s
Epoch [265/300], Train Loss: 0.001208, Val Loss: 0.001258, Epoch Time: 320.12s
Epoch [266/300], Train Loss: 0.001171, Val Loss: 0.001243, Epoch Time: 330.04s
Epoch [267/300], Train Loss: 0.001180, Val Loss: 0.001249, Epoch Time: 306.60s
Epoch [268/300], Train Loss: 0.001190, Val Loss: 0.001239, Epoch Time: 333.39s
Epoch [269/300], Train Loss: 0.001181, Val Loss: 0.001247, Epoch Time: 318.10s
Epoch [270/300], Train Loss: 0.001191, Val Loss: 0.001247, Epoch Time: 315.58s
Epoch [271/300], Train Loss: 0.001175, Val Loss: 0.001236, Epoch Time: 323.34s
Epoch [272/300], Train Loss: 0.001161, Val Loss: 0.001237, Epoch Time: 326.10s
Epoch [273/300], Train Loss: 0.001177, Val Loss: 0.001238, Epoch Time: 337.99s
Epoch [274/300], Train Loss: 0.001190, Val Loss: 0.001247, Epoch Time: 343.68s
Epoch [275/300], Train Loss: 0.001177, Val Loss: 0.001249, Epoch Time: 340.88s
Epoch [276/300], Train Loss: 0.001168, Val Loss: 0.001248, Epoch Time: 342.92s
Epoch [277/300], Train Loss: 0.001193, Val Loss: 0.001248, Epoch Time: 332.14s
Epoch [278/300], Train Loss: 0.001171, Val Loss: 0.001245, Epoch Time: 344.57s
Epoch [279/300], Train Loss: 0.001161, Val Loss: 0.001234, Epoch Time: 341.39s
Epoch [280/300], Train Loss: 0.001151, Val Loss: 0.001243, Epoch Time: 347.74s
Epoch [281/300], Train Loss: 0.001167, Val Loss: 0.001237, Epoch Time: 339.32s
Epoch [282/300], Train Loss: 0.001157, Val Loss: 0.001244, Epoch Time: 343.79s
Epoch [283/300], Train Loss: 0.001178, Val Loss: 0.001238, Epoch Time: 347.80s
Epoch [284/300], Train Loss: 0.001184, Val Loss: 0.001237, Epoch Time: 332.06s
Epoch [285/300], Train Loss: 0.001176, Val Loss: 0.001233, Epoch Time: 349.17s
Epoch [286/300], Train Loss: 0.001165, Val Loss: 0.001241, Epoch Time: 359.14s
Epoch [287/300], Train Loss: 0.001159, Val Loss: 0.001240, Epoch Time: 339.71s
Epoch [288/300], Train Loss: 0.001163, Val Loss: 0.001240, Epoch Time: 333.18s
Epoch [289/300], Train Loss: 0.001159, Val Loss: 0.001237, Epoch Time: 342.57s
Epoch [290/300], Train Loss: 0.001155, Val Loss: 0.001233, Epoch Time: 339.87s
Epoch [291/300], Train Loss: 0.001188, Val Loss: 0.001236, Epoch Time: 353.08s
Epoch [292/300], Train Loss: 0.001182, Val Loss: 0.001247, Epoch Time: 344.93s
Epoch [293/300], Train Loss: 0.001198, Val Loss: 0.001234, Epoch Time: 398.45s
Epoch [294/300], Train Loss: 0.001186, Val Loss: 0.001236, Epoch Time: 463.30s
Epoch [295/300], Train Loss: 0.001188, Val Loss: 0.001235, Epoch Time: 478.44s
Epoch [296/300], Train Loss: 0.001149, Val Loss: 0.001235, Epoch Time: 819.08s
Epoch [297/300], Train Loss: 0.001168, Val Loss: 0.001233, Epoch Time: 335.72s
Epoch [298/300], Train Loss: 0.001159, Val Loss: 0.001241, Epoch Time: 392.19s
Epoch [299/300], Train Loss: 0.001177, Val Loss: 0.001237, Epoch Time: 472.80s
Epoch [300/300], Train Loss: 0.001162, Val Loss: 0.001234, Epoch Time: 458.84s
Loss: mean = 0.00137290, std = 0.00050999
PSNR: mean = 28.95809364, std = 1.81260753
SSIM: mean = 0.80653092, std = 0.04092842
